pulled_at,post_id,post_url,post_topic,impressions,total_engagements,engagement_rate
7/16/2026,7386909013470236672,https://www.linkedin.com/posts/s-thiru_jobsearchhumor-opentowork-rejectionresilience-share-7386909013470236672-tiHf,jobsearchhumor opentowork rejectionresilience,3,0,0.0
7/16/2026,6991224982496301056,https://www.linkedin.com/posts/s-thiru_interdependency-between-product-and-program-share-6991224982496301056-rj3o,interdependency between product and program,2,0,0.0
7/16/2026,6991956183100112896,https://www.linkedin.com/posts/s-thiru_doing-pricing-strategy-research-for-a-class-share-6991956183100112896-tsF0,doing pricing strategy research for a class,3,0,0.0
7/16/2026,7390434172122812416,https://www.linkedin.com/posts/s-thiru_machinelearning-mlops-ai-share-7390434172122812416-Vyxo,machinelearning mlops ai,5,0,0.0
7/16/2026,7444838077958651904,https://www.linkedin.com/posts/s-thiru_jobsearchstruggles-ats-candidateexperience-share-7444838077958651904-qeLk,jobsearchstruggles ats candidateexperience,7,0,0.0
7/16/2026,7462965458904969217,https://www.linkedin.com/posts/s-thiru_im-attending-the-data-driven-path-to-consumption-based-ugcPost-7462965458904969217-wyMO,im attending the data driven path to consumption based,26,0,0.0
7/16/2026,7481381790818148352,https://www.linkedin.com/posts/s-thiru_perforces-2026-platform-engineering-report-share-7481381790818148352-fFVy,perforces 2026 platform engineering report,382,1,0.0026
7/16/2026,7482627366121402368,https://www.linkedin.com/posts/s-thiru_%F0%9D%90%8D%F0%9D%90%A8%F0%9D%90%9B%F0%9D%90%A8%F0%9D%90%9D%F0%9D%90%B2-%F0%9D%90%8A%F0%9D%90%A7%F0%9D%90%9E%F0%9D%90%B0-%F0%9D%90%96%F0%9D%90%A1%F0%9D%90%9A%F0%9D%90%AD-%F0%9D%90%96%F0%9D%90%A8%F0%9D%90%AE%F0%9D%90%A5%F0%9D%90%9D-share-7482627366121402368-cTT_,Nobody Knew What Would,165,1,0.0061
7/16/2026,7481630345667325952,https://www.linkedin.com/posts/s-thiru_hughes-was-basically-the-1940s-elon-musk-ugcPost-7481630345667325952-P2u0,hughes was basically the 1940s elon musk,1762,1,0.0006
7/16/2026,7482870341233516545,https://www.linkedin.com/posts/s-thiru_%F0%9D%97%98%F0%9D%98%83%F0%9D%97%B2%F0%9D%97%BF-%F0%9D%98%84%F0%9D%97%BC%F0%9D%97%BB%F0%9D%97%B1%F0%9D%97%B2%F0%9D%97%BF-%F0%9D%98%84%F0%9D%97%B5%F0%9D%97%BC-%F0%9D%98%81%F0%9D%97%B5%F0%9D%97%B2-%F0%9D%97%98%F0%9D%97%B9%F0%9D%97%BC%F0%9D%97%BB-share-7482870341233516545-DRzP,Ever wonder who the Elon,207,3,0.0145
7/16/2026,7482827798571831296,https://www.linkedin.com/posts/s-thiru_this-resonates-and-it-echoes-something-ive-share-7482827798571831296-VRzY,this resonates and it echoes something ive,129,1,0.0078
7/16/2026,7483188388079149057,https://www.linkedin.com/posts/s-thiru_linkedin-pulse-share-7483188388079149057-vNIF,linkedin pulse,121,2,0.0165
7/16/2026,7481642156231827457,https://www.linkedin.com/posts/s-thiru_output-inference-and-prediction-why-engineers-ugcPost-7481642156231827457-2Ifk,output inference and prediction why engineers,143,1,0.007
7/16/2026,7483486963497525248,https://www.linkedin.com/posts/s-thiru_%F0%9D%90%80%F0%9D%90%A0%F0%9D%90%9E%F0%9D%90%A7%F0%9D%90%AD%F0%9D%90%A2%F0%9D%90%9C-%F0%9D%90%87%F0%9D%90%A8%F0%9D%90%A6%F0%9D%90%9E%F0%9D%90%AC-%F0%9D%90%80-%F0%9D%90%85%F0%9D%90%AB%F0%9D%90%A2%F0%9D%90%9C%F0%9D%90%AD%F0%9D%90%A2%F0%9D%90%A8%F0%9D%90%A7%F0%9D%90%A5%F0%9D%90%9E%F0%9D%90%AC%F0%9D%90%AC-share-7483486963497525248-9isy,Agentic Homes A Frictionless,55,2,0.0364
7/16/2026,7483371288401727488,https://www.linkedin.com/posts/s-thiru_the-line-that-stayed-with-me-%F0%9D%90%93%F0%9D%90%A1%F0%9D%90%9E-%F0%9D%90%A6%F0%9D%90%9A%F0%9D%90%A5%F0%9D%90%A2%F0%9D%90%9C%F0%9D%90%A2%F0%9D%90%A8%F0%9D%90%AE%F0%9D%90%AC-share-7483371288401727488-TNul,the line that stayed with me The malicious,58,1,0.0172
7/16/2026,7481150756449067009,https://www.linkedin.com/posts/s-thiru_platform-thinking-%F0%9D%97%9C%F0%9D%98%83%F0%9D%97%B2-%F0%9D%97%BB%F0%9D%97%BC%F0%9D%98%81%F0%9D%97%B6%F0%9D%97%B0%F0%9D%97%B2%F0%9D%97%B1-share-7481150756449067009-RZeU,platform thinking Ive noticed,461,4,0.0087
7/19/2026,7422035873782845443,https://www.linkedin.com/posts/s-thiru_share-7422035873782845443-8kpm,share 7422035873782845443 8kpm,5,0,0.0
7/19/2026,7386779528435773440,https://www.linkedin.com/posts/s-thiru_opentowork-layoffs-resilience-share-7386779528435773440-Eo1h,opentowork layoffs resilience,4,0,0.0
7/19/2026,7386883754679615489,https://www.linkedin.com/posts/s-thiru_unemployednotunworthy-careerpivots-faithinthewaiting-share-7386883754679615489-N7-B,unemployednotunworthy careerpivots faithinthewaiting,8,0,0.0
7/19/2026,7386909013470236672,https://www.linkedin.com/posts/s-thiru_jobsearchhumor-opentowork-rejectionresilience-share-7386909013470236672-tiHf,jobsearchhumor opentowork rejectionresilience,6,0,0.0
7/19/2026,6991224982496301056,https://www.linkedin.com/posts/s-thiru_interdependency-between-product-and-program-share-6991224982496301056-rj3o,interdependency between product and program,2,0,0.0
7/19/2026,6991956183100112896,https://www.linkedin.com/posts/s-thiru_doing-pricing-strategy-research-for-a-class-share-6991956183100112896-tsF0,doing pricing strategy research for a class,3,0,0.0
7/19/2026,7390434172122812416,https://www.linkedin.com/posts/s-thiru_machinelearning-mlops-ai-share-7390434172122812416-Vyxo,machinelearning mlops ai,13,0,0.0
7/19/2026,7444838077958651904,https://www.linkedin.com/posts/s-thiru_jobsearchstruggles-ats-candidateexperience-share-7444838077958651904-qeLk,jobsearchstruggles ats candidateexperience,22,0,0.0
7/19/2026,7462965458904969217,https://www.linkedin.com/posts/s-thiru_im-attending-the-data-driven-path-to-consumption-based-ugcPost-7462965458904969217-wyMO,im attending the data driven path to consumption based,43,0,0.0
7/19/2026,7481381790818148352,https://www.linkedin.com/posts/s-thiru_perforces-2026-platform-engineering-report-share-7481381790818148352-fFVy,perforces 2026 platform engineering report,396,1,0.0025
7/19/2026,7482627366121402368,https://www.linkedin.com/posts/s-thiru_careeradvice-leadership-techcareers-share-7482627366121402368-mQ91,careeradvice leadership techcareers,191,1,0.0052
7/19/2026,7481630345667325952,https://www.linkedin.com/posts/s-thiru_innovation-history-entrepreneurship-ugcPost-7481630345667325952-uuXq,innovation history entrepreneurship,3892,2,0.0005
7/19/2026,7482870341233516545,https://www.linkedin.com/posts/s-thiru_storytelling-innovation-leadership-share-7482870341233516545-XLFp,storytelling innovation leadership,262,3,0.0115
7/19/2026,7482827798571831296,https://www.linkedin.com/posts/s-thiru_burnout-worklifebalance-leadership-share-7482827798571831296-11VN,burnout worklifebalance leadership,159,1,0.0063
7/19/2026,7481642156231827457,https://www.linkedin.com/posts/s-thiru_machinelearning-ai-datascience-ugcPost-7481642156231827457-kV9r,machinelearning ai datascience,174,1,0.0057
7/19/2026,7483188388079149057,https://www.linkedin.com/posts/s-thiru_linkedin-pulse-share-7483188388079149057-vNIF,linkedin pulse,141,1,0.0071
7/19/2026,7483486963497525248,https://www.linkedin.com/posts/s-thiru_agenticai-smarthome-aiethics-share-7483486963497525248-T9tX,agenticai smarthome aiethics,100,2,0.02
7/19/2026,7483714073147383808,https://www.linkedin.com/posts/s-thiru_ugcPost-7483714073147383808-djuq,ugcPost 7483714073147383808 djuq,143,1,0.007
7/19/2026,7483371288401727488,https://www.linkedin.com/posts/s-thiru_leadership-businessstrategy-management-share-7483371288401727488-qVJ0,leadership businessstrategy management,132,1,0.0076
7/19/2026,7483680952347570176,https://www.linkedin.com/posts/s-thiru_aieconomics-tokeneconomy-generativeai-share-7483680952347570176-5Kdb,aieconomics tokeneconomy generativeai,130,0,0.0
7/19/2026,7483976009793400832,https://www.linkedin.com/posts/s-thiru_platformthinking-enterprisearchitecture-platformengineering-share-7483976009793400832-9rhs,platformthinking enterprisearchitecture platformengineering,112,2,0.0179
7/19/2026,7483845635582984193,https://www.linkedin.com/posts/s-thiru_the-rise-of-agentic-software-development-share-7483845635582984193-JjGm,the rise of agentic software development,145,0,0.0
7/19/2026,7481150756449067009,https://www.linkedin.com/posts/s-thiru_productmanagement-platformthinking-techleadership-share-7481150756449067009-8WHT,productmanagement platformthinking techleadership,467,4,0.0086
7/19/2026,7386909595538989056,https://www.linkedin.com/posts/s-thiru_career-cardio-is-a-humorous-yet-powerful-share-7386909595538989056-ANNB,career cardio is a humorous yet powerful,411,3,0.0073
7/19/2026,7273150972325953537,https://www.linkedin.com/posts/s-thiru_excited-to-see-xperi-showcasing-its-innovative-share-7273150972325953537-Te_U,excited to see xperi showcasing its innovative,3,0,0.0
7/19/2026,7295072778867671040,https://www.linkedin.com/posts/s-thiru_opentowork-ugcPost-7295072778867671040-3lik,opentowork,5,0,0.0
7/19/2026,7296243452193722368,https://www.linkedin.com/posts/s-thiru_its-been-a-while-since-ive-completed-my-ugcPost-7296243452193722368-aHVD,its been a while since ive completed my,92,0,0.0
7/19/2026,7296241754406604801,https://www.linkedin.com/posts/s-thiru_opentowork-ugcPost-7296241754406604801-vF2t,opentowork,13,0,0.0
7/19/2026,6899804654818197504,https://www.linkedin.com/posts/s-thiru_machinelearning-artificialintelligence-share-6899804654818197504-wbYh,machinelearning artificialintelligence,1,0,0.0
7/19/2026,7318721509143764993,https://www.linkedin.com/posts/s-thiru_incredible-advancement-by-shieldai-their-ugcPost-7318721509143764993-dnK3,incredible advancement by shieldai their,5,0,0.0
7/19/2026,7318720603622936577,https://www.linkedin.com/posts/s-thiru_incredible-workshieldai-is-pushing-the-share-7318720603622936577-Gv6O,incredible workshieldai is pushing the,2,0,0.0
7/19/2026,7318721021031706624,https://www.linkedin.com/posts/s-thiru_lidar-is-essential-to-the-safe-and-scalable-ugcPost-7318721021031706624-azVY,lidar is essential to the safe and scalable,2,0,0.0
7/19/2026,7313269404861935618,https://www.linkedin.com/posts/s-thiru_great-write-up-on-game-theory-and-how-it-ugcPost-7313269404861935618-KsRt,great write up on game theory and how it,2,0,0.0
7/19/2026,7183466535154335746,https://www.linkedin.com/posts/s-thiru_mbagrad-topbusinessschool-careergrowth-share-7183466535154335746-4JXh,mbagrad topbusinessschool careergrowth,7,0,0.0
7/19/2026,7327856258361798658,https://www.linkedin.com/posts/s-thiru_businessanalysis-ugcPost-7327856258361798658-CAOH,businessanalysis,4,0,0.0
7/19/2026,7328453704091639808,https://www.linkedin.com/posts/s-thiru_im-happy-to-share-that-ive-obtained-a-new-ugcPost-7328453704091639808-O9bC,im happy to share that ive obtained a new,12,0,0.0
7/19/2026,7328453628162154497,https://www.linkedin.com/posts/s-thiru_data-landscape-of-genai-for-project-managers-share-7328453628162154497-l-G7,data landscape of genai for project managers,6,0,0.0
7/19/2026,7329113772730556419,https://www.linkedin.com/posts/s-thiru_if-you-are-looking-for-a-financial-advisor-share-7329113772730556419-m3wZ,if you are looking for a financial advisor,191,0,0.0
7/19/2026,7329108574821912576,https://www.linkedin.com/posts/s-thiru_opentowork-programmanagement-productleadership-share-7329108574821912576-6aWF,opentowork programmanagement productleadership,110,0,0.0
7/19/2026,6410496238151704577,https://www.linkedin.com/posts/s-thiru_project-management-professional-pmp-was-share-6410496238151704577-nmbt,project management professional pmp was,1,0,0.0
7/19/2026,7349918212626571265,https://www.linkedin.com/posts/s-thiru_im-happy-to-share-that-ive-obtained-a-new-ugcPost-7349918212626571265-yXYg,im happy to share that ive obtained a new,98,2,0.0204
7/19/2026,7351717386795786240,https://www.linkedin.com/posts/s-thiru_im-happy-to-share-that-ive-obtained-a-new-ugcPost-7351717386795786240-crDp,im happy to share that ive obtained a new,194,4,0.0206
7/19/2026,7352704418871398400,https://www.linkedin.com/posts/s-thiru_3-reasons-that-hiring-a-perfect-unicorn-employee-share-7352704418871398400-s9NA,3 reasons that hiring a perfect unicorn employee,162,0,0.0
7/19/2026,7348142872098988032,https://www.linkedin.com/posts/s-thiru_careerdevelopment-criticalthinking-strategicthinking-share-7348142872098988032-Qi5C,careerdevelopment criticalthinking strategicthinking,87,0,0.0
7/19/2026,7348430439570694144,https://www.linkedin.com/posts/s-thiru_completion-certificate-for-product-management-share-7348430439570694144-NTWD,completion certificate for product management,58,0,0.0
7/19/2026,7358353969858891776,https://www.linkedin.com/posts/s-thiru_im-happy-to-share-that-ive-obtained-a-new-ugcPost-7358353969858891776-wECh,im happy to share that ive obtained a new,304,5,0.0164
7/19/2026,7358989390422941698,https://www.linkedin.com/posts/s-thiru_im-happy-to-share-that-ive-obtained-a-new-ugcPost-7358989390422941698-hUQp,im happy to share that ive obtained a new,429,7,0.0163
7/19/2026,7370841334632423424,https://www.linkedin.com/posts/s-thiru_im-attending-what-no-one-says-about-leadership-ugcPost-7370841334632423424-P4Ck,im attending what no one says about leadership,308,4,0.013
7/19/2026,7484624610966089728,https://www.linkedin.com/posts/s-thiru_agenticai-smarthome-aiethics-ugcPost-7484624610966089728-tXTw,agenticai smarthome aiethics,78,0,0.0
7/19/2026,7484647074844737536,https://www.linkedin.com/posts/s-thiru_corporateculture-middlemanagement-techhumor-ugcPost-7484647074844737536-tglS,corporateculture middlemanagement techhumor,43,0,0.0
7/20/2026,7422035873782845443,https://www.linkedin.com/posts/s-thiru_share-7422035873782845443-8kpm,share 7422035873782845443 8kpm,549,5,0.0091
7/20/2026,7386779528435773440,https://www.linkedin.com/posts/s-thiru_opentowork-layoffs-resilience-share-7386779528435773440-Eo1h,opentowork layoffs resilience,7125,18,0.0025
7/20/2026,7386909595538989056,https://www.linkedin.com/posts/s-thiru_career-cardio-is-a-humorous-yet-powerful-share-7386909595538989056-ANNB,career cardio is a humorous yet powerful,411,3,0.0073
7/20/2026,7386883754679615489,https://www.linkedin.com/posts/s-thiru_unemployednotunworthy-careerpivots-faithinthewaiting-share-7386883754679615489-N7-B,unemployednotunworthy careerpivots faithinthewaiting,1009,15,0.0149
7/20/2026,7386909013470236672,https://www.linkedin.com/posts/s-thiru_jobsearchhumor-opentowork-rejectionresilience-share-7386909013470236672-tiHf,jobsearchhumor opentowork rejectionresilience,1079,9,0.0083
7/20/2026,6991224982496301056,https://www.linkedin.com/posts/s-thiru_interdependency-between-product-and-program-share-6991224982496301056-rj3o,interdependency between product and program,6,0,0.0
7/20/2026,6991956183100112896,https://www.linkedin.com/posts/s-thiru_doing-pricing-strategy-research-for-a-class-share-6991956183100112896-tsF0,doing pricing strategy research for a class,4,0,0.0
7/20/2026,7390434172122812416,https://www.linkedin.com/posts/s-thiru_machinelearning-mlops-ai-share-7390434172122812416-Vyxo,machinelearning mlops ai,971,8,0.0082
7/20/2026,7273150972325953537,https://www.linkedin.com/posts/s-thiru_excited-to-see-xperi-showcasing-its-innovative-share-7273150972325953537-Te_U,excited to see xperi showcasing its innovative,3,0,0.0
7/20/2026,7295072778867671040,https://www.linkedin.com/posts/s-thiru_opentowork-ugcPost-7295072778867671040-3lik,opentowork,5,0,0.0
7/20/2026,7296243452193722368,https://www.linkedin.com/posts/s-thiru_its-been-a-while-since-ive-completed-my-ugcPost-7296243452193722368-aHVD,its been a while since ive completed my,91,0,0.0
7/20/2026,7296241754406604801,https://www.linkedin.com/posts/s-thiru_opentowork-ugcPost-7296241754406604801-vF2t,opentowork,13,0,0.0
7/20/2026,7444838077958651904,https://www.linkedin.com/posts/s-thiru_jobsearchstruggles-ats-candidateexperience-share-7444838077958651904-qeLk,jobsearchstruggles ats candidateexperience,1388,15,0.0108
7/20/2026,7318721509143764993,https://www.linkedin.com/posts/s-thiru_incredible-advancement-by-shieldai-their-ugcPost-7318721509143764993-dnK3,incredible advancement by shieldai their,5,0,0.0
7/20/2026,7318720603622936577,https://www.linkedin.com/posts/s-thiru_incredible-workshieldai-is-pushing-the-share-7318720603622936577-Gv6O,incredible workshieldai is pushing the,2,0,0.0
7/20/2026,7318721021031706624,https://www.linkedin.com/posts/s-thiru_lidar-is-essential-to-the-safe-and-scalable-ugcPost-7318721021031706624-azVY,lidar is essential to the safe and scalable,2,0,0.0
7/20/2026,7313269404861935618,https://www.linkedin.com/posts/s-thiru_great-write-up-on-game-theory-and-how-it-ugcPost-7313269404861935618-KsRt,great write up on game theory and how it,2,0,0.0
7/20/2026,7183466535154335746,https://www.linkedin.com/posts/s-thiru_mbagrad-topbusinessschool-careergrowth-share-7183466535154335746-4JXh,mbagrad topbusinessschool careergrowth,7,0,0.0
7/20/2026,7327856258361798658,https://www.linkedin.com/posts/s-thiru_businessanalysis-ugcPost-7327856258361798658-CAOH,businessanalysis,4,0,0.0
7/20/2026,7328453704091639808,https://www.linkedin.com/posts/s-thiru_im-happy-to-share-that-ive-obtained-a-new-ugcPost-7328453704091639808-O9bC,im happy to share that ive obtained a new,13,0,0.0
7/20/2026,7328453628162154497,https://www.linkedin.com/posts/s-thiru_data-landscape-of-genai-for-project-managers-share-7328453628162154497-l-G7,data landscape of genai for project managers,6,0,0.0
7/20/2026,7329113772730556419,https://www.linkedin.com/posts/s-thiru_if-you-are-looking-for-a-financial-advisor-share-7329113772730556419-m3wZ,if you are looking for a financial advisor,191,0,0.0
7/20/2026,7329108574821912576,https://www.linkedin.com/posts/s-thiru_opentowork-programmanagement-productleadership-share-7329108574821912576-6aWF,opentowork programmanagement productleadership,110,0,0.0
7/20/2026,7462965458904969217,https://www.linkedin.com/posts/s-thiru_im-attending-the-data-driven-path-to-consumption-based-ugcPost-7462965458904969217-wyMO,im attending the data driven path to consumption based,360,1,0.0028
7/20/2026,7481381790818148352,https://www.linkedin.com/posts/s-thiru_perforces-2026-platform-engineering-report-share-7481381790818148352-fFVy,perforces 2026 platform engineering report,398,1,0.0025
7/20/2026,7349918212626571265,https://www.linkedin.com/posts/s-thiru_im-happy-to-share-that-ive-obtained-a-new-ugcPost-7349918212626571265-yXYg,im happy to share that ive obtained a new,94,2,0.0213
7/20/2026,7482627366121402368,https://www.linkedin.com/posts/s-thiru_careeradvice-leadership-techcareers-share-7482627366121402368-mQ91,careeradvice leadership techcareers,192,1,0.0052
7/20/2026,7481630345667325952,https://www.linkedin.com/posts/s-thiru_innovation-history-entrepreneurship-ugcPost-7481630345667325952-uuXq,innovation history entrepreneurship,3950,2,0.0005
7/20/2026,7482870341233516545,https://www.linkedin.com/posts/s-thiru_storytelling-innovation-leadership-share-7482870341233516545-XLFp,storytelling innovation leadership,265,3,0.0113
7/20/2026,7482827798571831296,https://www.linkedin.com/posts/s-thiru_burnout-worklifebalance-leadership-share-7482827798571831296-11VN,burnout worklifebalance leadership,159,1,0.0063
7/20/2026,7481642156231827457,https://www.linkedin.com/posts/s-thiru_machinelearning-ai-datascience-ugcPost-7481642156231827457-kV9r,machinelearning ai datascience,178,1,0.0056
7/20/2026,7483188388079149057,https://www.linkedin.com/posts/s-thiru_linkedin-pulse-share-7483188388079149057-vNIF,linkedin pulse,141,1,0.0071
7/20/2026,7483486963497525248,https://www.linkedin.com/posts/s-thiru_agenticai-smarthome-aiethics-share-7483486963497525248-T9tX,agenticai smarthome aiethics,105,2,0.019
7/20/2026,7483714073147383808,https://www.linkedin.com/posts/s-thiru_ugcPost-7483714073147383808-djuq,ugcPost 7483714073147383808 djuq,152,1,0.0066
7/20/2026,7483371288401727488,https://www.linkedin.com/posts/s-thiru_leadership-businessstrategy-management-share-7483371288401727488-qVJ0,leadership businessstrategy management,134,1,0.0075
7/20/2026,7483680952347570176,https://www.linkedin.com/posts/s-thiru_aieconomics-tokeneconomy-generativeai-share-7483680952347570176-5Kdb,aieconomics tokeneconomy generativeai,132,0,0.0
7/20/2026,7351717386795786240,https://www.linkedin.com/posts/s-thiru_im-happy-to-share-that-ive-obtained-a-new-ugcPost-7351717386795786240-crDp,im happy to share that ive obtained a new,185,3,0.0162
7/20/2026,7483976009793400832,https://www.linkedin.com/posts/s-thiru_platformthinking-enterprisearchitecture-platformengineering-share-7483976009793400832-9rhs,platformthinking enterprisearchitecture platformengineering,137,2,0.0146
7/20/2026,7483845635582984193,https://www.linkedin.com/posts/s-thiru_the-rise-of-agentic-software-development-share-7483845635582984193-JjGm,the rise of agentic software development,151,0,0.0
7/20/2026,7484624610966089728,https://www.linkedin.com/posts/s-thiru_agenticai-smarthome-aiethics-ugcPost-7484624610966089728-tXTw,agenticai smarthome aiethics,81,0,0.0
7/20/2026,7484647074844737536,https://www.linkedin.com/posts/s-thiru_corporateculture-middlemanagement-techhumor-ugcPost-7484647074844737536-tglS,corporateculture middlemanagement techhumor,76,0,0.0
7/20/2026,7352704418871398400,https://www.linkedin.com/posts/s-thiru_3-reasons-that-hiring-a-perfect-unicorn-employee-share-7352704418871398400-s9NA,3 reasons that hiring a perfect unicorn employee,117,0,0.0
7/20/2026,7348142872098988032,https://www.linkedin.com/posts/s-thiru_careerdevelopment-criticalthinking-strategicthinking-share-7348142872098988032-Qi5C,careerdevelopment criticalthinking strategicthinking,83,0,0.0
7/20/2026,7348430439570694144,https://www.linkedin.com/posts/s-thiru_completion-certificate-for-product-management-share-7348430439570694144-NTWD,completion certificate for product management,57,0,0.0
